,actor id,actor name,character,gender,movie id,movie release year,title,age,place of birth
359,3627,Paz Vega,Lucía,Female,1364,2001,Sex and Lucia,25,"Sevilla, España"
360,24965,Scott Wolf,Scamp (speaking) (voice),Male,18269,2001,Lady and the Tramp II: Scamp's Adventure,33,Boston - Massachusetts - USA
361,73016,Debi Derryberry,James 'Jimmy' Isaac Neutron (voice),Female,12589,2001,Jimmy Neutron: Boy Genius,34,"Indio, California, USA"
362,4785,Jeff Goldblum,Professor Brody,Male,10992,2001,Cats & Dogs,49,"Pittsburgh, Pennsylvania, USA"
363,9640,Haley Joel Osment,David,Male,644,2001,A.I. Artificial Intelligence,13,"Los Angeles, California, USA"
364,52049,Jay Chandrasekhar,Thorny,Male,39939,2001,Super Troopers,33,Chicago - Illinois - USA
365,12052,Gwyneth Paltrow,Rosemary Shanahan,Female,9889,2001,Shallow Hal,29,"Los Angeles, California, USA"
366,57674,Alexa PenaVega,Carmen Cortez,Female,10054,2001,Spy Kids,13,"Miami, Florida, USA"
367,16971,Maribel Verdú,Luisa Cortés,Female,1391,2001,Y Tu Mamá También,31,"Madrid, Spain"
368,63442,Cha Tae-hyun,Kyun-woo,Male,11178,2001,My Sassy Girl,25,"Seoul, South Korea"
369,17882,Isabelle Huppert,Erika Kohut,Female,1791,2001,The Piano Teacher,48,"Paris, France"
370,55636,Donald Sutherland,Dr. Cid (voice),Male,2114,2001,Final Fantasy: The Spirits Within,66,"Saint John, New Brunswick, Canada"
371,60950,David Spade,Joe Dirt,Male,10956,2001,Joe Dirt,37,"Birmingham, Michigan, USA"
372,51214,Brad Renfro,Marty Puccio,Male,9517,2001,Bully,19,"Knoxville, Tennessee, U.S."
373,4135,Robert Redford,Nathan D. Muir,Male,1535,2001,Spy Game,65,"Santa Monica, California, USA"
374,51493,Châu Belle Dinh,Baseball,Male,6935,2001,Yamakasi,24,"Hô-Chi-Minh-Ville, Viêt Nam"
375,17328,Rufus Sewell,Angus,Male,37254,2001,Mermaid Chronicles Part 1: She Creature,34,"Twickenham, Middlesex, England, UK"
376,57147,Paul Hogan,Michael J. 'Crocodile' Dundee,Male,9290,2001,Crocodile Dundee in Los Angeles,62,"Lightning Ridge, New South Wales, Australia"
377,62596,Kane Hodder,Jason Voorhees / Uber-Jason,Male,11470,2001,Jason X,46,"Auburn, California, USA"
378,2140,Monica Potter,Amanda Pierce,Female,24940,2001,Head Over Heels,30,"Cleveland, Ohio, USA"
379,17093,Eduardo Noriega,Jacinto,Male,1433,2001,The Devil's Backbone,28,"Santander, Cantabria, Spain"
380,3392,Michael Douglas,Nathan R. Conrad,Male,12103,2001,Don't Say a Word,57,"New Brunswick, New Jersey, USA"
381,5344,Meg Ryan,Kate McKay,Female,11232,2001,Kate & Leopold,40,"Fairfield, Connecticut, USA"
382,158165,Rickey D'Shon Collins,,Male,19405,2001,Recess: School's Out,18,
383,8436,Miranda Richardson,Queen Elspeth,Female,32593,2001,Snow White: The Fairest of Them All,43,"Southport, Lancashire, UK"
384,2632,Chris Rock,Osmosis Jones (voice),Male,12610,2001,Osmosis Jones,36,"Andrews, South Carolina, USA"
385,39641,Zachi Noy,Yehuda,Male,44300,2001,Lemon Popsicle 9: The Party Goes On,48,"Haifa, Israel"
386,96472,Hayato Ichihara,Yûichi Hasumi,Male,16664,2001,All About Lily Chou-Chou,14,"Kawasaki, Kanagawa Prefecture, Japan"
