,movie id,overview,popularity rank,release year,title,budget,revenue,actor id,actor name,character,gender
11,1375,"A lifetime of taking shots has ended Rocky's career, and a crooked accountant has left him broke. Inspired by the memory of his trainer, however, Rocky finds glory in training and takes on an up-and-coming boxer.",12,1990,Rocky V,42000000,119946358,16483.0,Sylvester Stallone,Rocky Balboa,Male
12,251,"Sam Wheat is a banker, Molly Jensen is an artist, and the two are madly in love. However, when Sam is murdered by his friend and corrupt business partner Carl Bruner over a shady business deal, he is left to roam the earth as a powerless spirit. When he learns of Carl's betrayal, Sam must seek the help of psychic Oda Mae Brown to set things right and protect Molly from Carl and his goons.",13,1990,Ghost,22000000,505000000,723.0,Patrick Swayze,Sam Wheat,Male
13,196,"The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking for Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",14,1990,Back to the Future Part III,40000000,244527583,521.0,Michael J. Fox,Marty McFly / Seamus McFly,Male
14,1498,A quartet of mutated humanoid turtles clash with an uprising criminal gang of ninjas,15,1990,Teenage Mutant Ninja Turtles,13500000,202000000,45041.0,Judith Hoag,April O'Neal,Female
15,1551,"Five medical students want to find out if there is life after death. They plan to stop one of their hearts for a few seconds, thus simulating death, and then bring the person back to life. A science fiction thriller from the early 1990's with a star studded cast.",16,1990,Flatliners,26000000,61489265,2628.0,Kiefer Sutherland,Nelson,Male
16,928,"Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!",17,1990,Gremlins 2: The New Batch,50000000,41482207,16170.0,Zach Galligan,Billy Peltzer,Male
17,530,"Wallace and Gromit have run out of cheese and this provides an excellent excuse for the animated duo to take their holiday on the moon, where, as everyone knows, there is ample cheese. The moon is inhabited by a mechanical caretaker, who is not too happy about the two visitors from earth that nibble on the moon.",18,1990,A Grand Day Out,0,0,7317.0,Peter Sallis,Wallace (voice),Male
18,5549,"After a successful deployment of the Robocop Law Enforcement unit, OCP sees its goal of urban pacification come closer and closer, but as this develops, a new narcotic known as ""Nuke"" invades the streets led by God-delirious leader Cane. As this menace grows, it may prove to be too much for Murphy to handle. OCP tries to replicate the success of the first unit, but ends up with failed prototypes with suicidal issues... until Dr. Faxx, a scientist straying away from OCP's path, uses Cane as the new subject for the Robocop 2 project, a living God.",19,1990,RoboCop 2,35000000,45681173,27811.0,Peter Weller,RoboCop,Male
19,1700,"Novelist Paul Sheldon crashes his car on a snowy Colorado road. He is found by Annie Wilkes, the ""number one fan"" of Paul's heroine Misery Chastaine. Annie is also somewhat unstable, and Paul finds himself crippled, drugged and at her mercy.",20,1990,Misery,20000000,61276872,3085.0,James Caan,Paul Sheldon,Male
20,10847,"Stranded on an island, a group of schoolboys degenerate into savagery.",21,1990,Lord of the Flies,0,0,9296.0,Balthazar Getty,Ralph,Male
21,18311,"The movie is set in Hong Kong and the Philippines in 1960. Yuddy, or 'York' in English, is a playboy in Hong Kong and is well-known for stealing girls' hearts and breaking them. His first victim is Li Zhen who suffered emotional and mental depression as a result of Yuddy's wayward attitude. Li Zhen eventually seeks much-needed solace from a sympathetic policeman named Tide.",22,1990,Days of Being Wild,0,141864,25246.0,Andy Lau,Policeman,Male
22,483,Young lovers Sailor and Lula run from the variety of weirdos that Lula's mom has hired to kill Sailor.,23,1990,Wild at Heart,9500000,14560247,2963.0,Nicolas Cage,Sailor Ripley,Male
23,9569,"Mason Storm, a 'go it alone' cop, is gunned down at home. The intruders kill his wife, and think they've killed both Mason and his son too. Mason is secretly taken to a hospital where he spends several years in a coma. His son meanwhile is growing up thinking his father is dead. When Mason wakes up, everyone is in danger - himself, his son, his best friend, his nurse - but most of all those who arranged for his death",24,1990,Hard to Kill,10000000,47410000,23880.0,Steven Seagal,Mason Storm,Male
24,39323,"Bardock, Son Goku's father, is a low-ranking Saiyan soldier who was given the power to see into the future by the last remaining alien on a planet he just destroyed. He witnesses the destruction of his race and must now do his best to stop Frieza's impending massacre.",25,1990,Dragon Ball Z: Bardock - The Father of Goku,0,0,90496.0,Masako Nozawa,Bardock,Female
25,4587,"Fifteen-year-old Charlotte Flax is tired of her wacky mom moving their family to a different town any time she feels it is necessary. When they move to a small Massachusetts town and Mrs. Flax begins dating a shopkeeper, Charlotte and her 9-year-old sister, Kate, hope that they can finally settle down. But when Charlotte's attraction to an older man gets in the way, the family must learn to accept each other for who they truly are.",26,1990,Mermaids,31000000,35419397,38225.0,Cher,Rachel Flax,Female
26,9768,A prim and proper schoolgirl goes against her mother's wishes when she dates a motorcycle-riding juvenile delinquent.,27,1990,Cry-Baby,11000000,8266343,85.0,Johnny Depp,"Wade ""Cry-Baby"" Walker",Male
