,actor id,actor name,character,gender,movie id,title
1409,5411,Sanaa Lathan,Alexa Woods,Female,395,AVP: Alien vs. Predator
1410,49265,Lindsay Lohan,Cady Heron,Female,10625,Mean Girls
1411,6968,Hugh Jackman,Van Helsing,Male,7131,Van Helsing
1412,206,Jim Carrey,Joel Barish,Male,38,Eternal Sunshine of the Spotless Mind
1413,74358,Kelly Sheridan,Princess Anneliese / Erika (voice),Female,15165,Barbie as The Princess & the Pauper
1414,12073,Mike Myers,Shrek (voice),Male,809,Shrek 2
1415,16828,Chris Evans,Ryan Hewitt,Male,9759,Cellular
1416,206,Jim Carrey,Count Olaf / Dr. Stephano / Captain Sham,Male,11774,Lemony Snicket's A Series of Unfortunate Events
1417,287,Brad Pitt,Achilles,Male,652,Troy
1418,78729,Nathan Lane,Timon (voice),Male,11430,The Lion King 1½
1419,2888,Will Smith,Oscar (voice),Male,10555,Shark Tale
1420,78798,Tom Kenny,Spongebob,Male,11836,The SpongeBob SquarePants Movie
1421,1461,George Clooney,Danny Ocean,Male,163,Ocean's Twelve
1422,2963,Nicolas Cage,Ben Gates,Male,2059,National Treasure
1423,33260,Freddie Prinze Jr.,Fred,Male,11024,Scooby-Doo 2: Monsters Unleashed
1424,78076,Wayne Allwine,Mickey Mouse (voice),Male,21385,"Mickey, Donald, Goofy: The Three Musketeers"
1425,2372,Ron Perlman,Hellboy,Male,1487,Hellboy
1426,4587,Halle Berry,Patience Phillips / Catwoman,Female,314,Catwoman
1427,2296,Clive Owen,Arthur,Male,9477,King Arthur
1428,10814,Wesley Snipes,Blade,Male,36648,Blade: Trinity
1429,41464,Scott Mechlowicz,Scott Thomas,Male,9352,EuroTrip
1430,1532,Bill Murray,Garfield (voice),Male,8920,Garfield
1431,18897,Jackie Chan,Passepartout / Lau Xing,Male,10204,Around the World in 80 Days
