,genre,movie id,title
511,Thriller,14362,Out for Justice
512,Crime,14362,Out for Justice
513,Drama,14362,Out for Justice
514,Mystery,14362,Out for Justice
515,Action,11384,The Hard Way
516,Comedy,11384,The Hard Way
517,Crime,11384,The Hard Way
518,Drama,53896,Close My Eyes
519,Romance,53896,Close My Eyes
520,Crime,650,Boyz n the Hood
521,Drama,650,Boyz n the Hood
522,Comedy,339,Night on Earth
523,Drama,339,Night on Earth
524,Comedy,11933,Nothing but Trouble
525,Adventure,11933,Nothing but Trouble
526,Comedy,177,The Fisher King
527,Drama,177,The Fisher King
528,Crime,168361,Murder in New Hampshire: The Pamela Wojas Smart Story
529,Drama,168361,Murder in New Hampshire: The Pamela Wojas Smart Story
530,TV Movie,168361,Murder in New Hampshire: The Pamela Wojas Smart Story
531,Thriller,19200,Shadows and Fog
532,Comedy,19200,Shadows and Fog
533,Drama,48448,Across the Tracks
534,Action,2125,Wedlock
535,Science Fiction,2125,Wedlock
536,Thriller,2125,Wedlock
537,Comedy,12186,Defending Your Life
538,Fantasy,12186,Defending Your Life
539,Romance,12186,Defending Your Life
540,Adventure,1649,Bill & Ted's Bogus Journey
541,Comedy,1649,Bill & Ted's Bogus Journey
542,Family,1649,Bill & Ted's Bogus Journey
543,Fantasy,1649,Bill & Ted's Bogus Journey
544,Science Fiction,1649,Bill & Ted's Bogus Journey
545,Action,47363,Deathstalker IV: Match of Titans
546,Adventure,47363,Deathstalker IV: Match of Titans
547,Fantasy,47363,Deathstalker IV: Match of Titans
548,Drama,21219,Mobsters
549,Action,21219,Mobsters
550,Thriller,21219,Mobsters
551,Crime,21219,Mobsters
552,Action,65374,Samurai Cop
553,Crime,65374,Samurai Cop
554,Thriller,65374,Samurai Cop
555,Science Fiction,174,Star Trek VI: The Undiscovered Country
556,Action,174,Star Trek VI: The Undiscovered Country
557,Adventure,174,Star Trek VI: The Undiscovered Country
558,Thriller,174,Star Trek VI: The Undiscovered Country
559,Mystery,30815,Mortal Thoughts
560,Thriller,30815,Mortal Thoughts
561,Drama,30815,Mortal Thoughts
562,Thriller,10952,New Jack City
563,Crime,10952,New Jack City
564,Drama,10952,New Jack City
565,Animation,812,Aladdin
566,Family,812,Aladdin
567,Comedy,812,Aladdin
568,Adventure,812,Aladdin
569,Fantasy,812,Aladdin
570,Romance,812,Aladdin
571,Crime,500,Reservoir Dogs
572,Thriller,500,Reservoir Dogs
573,Science Fiction,8077,Alien³
574,Action,8077,Alien³
575,Horror,8077,Alien³
576,Comedy,772,Home Alone 2: Lost in New York
577,Family,772,Home Alone 2: Lost in New York
578,Adventure,772,Home Alone 2: Lost in New York
579,Crime,772,Home Alone 2: Lost in New York
580,Romance,6114,Dracula
581,Horror,6114,Dracula
582,Comedy,9374,Death Becomes Her
583,Fantasy,9374,Death Becomes Her
584,Horror,9374,Death Becomes Her
585,Thriller,402,Basic Instinct
586,Mystery,402,Basic Instinct
587,Action,9361,The Last of the Mohicans
588,Adventure,9361,The Last of the Mohicans
589,Drama,9361,The Last of the Mohicans
590,History,9361,The Last of the Mohicans
591,Romance,9361,The Last of the Mohicans
592,War,9361,The Last of the Mohicans
593,Action,11134,Police Story 3: Supercop
594,Crime,11134,Police Story 3: Supercop
595,Thriller,11134,Police Story 3: Supercop
596,Action,364,Batman Returns
597,Fantasy,364,Batman Returns
598,Action,11782,Hard Boiled
599,Thriller,11782,Hard Boiled
600,Crime,11782,Hard Boiled
601,Drama,9529,Candyman
602,Horror,9529,Candyman
603,Thriller,9529,Candyman
604,Fantasy,766,Army of Darkness
605,Horror,766,Army of Darkness
606,Comedy,766,Army of Darkness
607,Fantasy,11428,Sleepwalkers
608,Horror,11428,Sleepwalkers
609,Thriller,11428,Sleepwalkers
610,Action,39103,Dragon Ball Z: Return of Cooler
611,Animation,39103,Dragon Ball Z: Return of Cooler
612,Thriller,10497,Bitter Moon
613,Drama,10497,Bitter Moon
614,Romance,10497,Bitter Moon
615,Drama,1923,Twin Peaks: Fire Walk with Me
