,actor id,actor name,character,gender,id,movie release year,title,age,place of birth
150,4937,Vince Vaughn,Bradley Thomas,Male,398175,2017,Brawl in Cell Block 99,47,"Minneapolis, Minnesota, USA"
151,16936,Stan Shaw,Sheriff Tashtego,Male,55341,2017,Jeepers Creepers 3,65,"Chicago, Illinois"
152,1482541,Jason Tobias,Jeff,Male,469916,2017,Downrange,0,Texas
153,93803,Mamoru Miyano,Haruo Sakaki (voice),Male,449574,2017,Godzilla: Planet of the Monsters,34,"Saitama Prefecture, Japan"
154,500,Tom Cruise,Nick Morton,Male,282035,2017,The Mummy,55,"Syracuse, New York, USA"
155,466505,Kumail Nanjiani,Kumail Nanjiani,Male,416477,2017,The Big Sick,39,"Karachi, Pakistan"
156,62596,Kane Hodder,Victor Crowley,Male,472338,2017,Victor Crowley,62,"Auburn, California, USA"
157,3810,Javier Bardem,Pablo Escobar,Male,425336,2017,Loving Pablo,48,"Las Palmas de Gran Canaria, Gran Canaria, Canary Islands, Spain"
158,1274508,Jaeden Lieberher,Bill Denbrough,Male,346364,2017,It,14,"Philadelphia, Pennsylvania, USA"
159,215055,Steven Yeun,Derek Cho,Male,429733,2017,Mayhem,34,"Seoul, South Korea"
160,16851,Josh Brolin,Eric Marsh,Male,395991,2017,Only the Brave,49,Los Angeles - California - USA
161,114019,Luke Evans,Dr. William Moulton Marston,Male,420622,2017,Professor Marston and the Wonder Women,38,"Pontypool, Wales, UK"
162,1370,Brad Dourif,Charles Lee Ray/Chucky (voice),Male,393345,2017,Cult of Chucky,67,"Huntington, West Virginia, USA"
163,1059597,Zoey Deutch,Samantha Kingston,Female,397837,2017,Before I Fall,23,"Los Angeles, California, USA"
164,72466,Colin Farrell,Steven Murphy,Male,399057,2017,The Killing of a Sacred Deer,41,"Castleknock, Dublin, Ireland"
165,1332680,Uzo Aduba,Queen Novo (voice),Female,335360,2017,My Little Pony: The Movie,36,"Boston, Massachusetts, USA"
166,21200,Will Arnett,Batman / Bruce Wayne (voice),Male,324849,2017,The Lego Batman Movie,47,"Toronto, Ontario, Canada"
167,83002,Jessica Chastain,Molly Bloom,Female,396371,2017,Molly's Game,40,"Southern California, California, USA"
168,38673,Channing Tatum,Jimmy Logan,Male,399170,2017,Logan Lucky,37,"Cullman, Alabama, USA"
169,54415,Josh Gad,Olaf (Voice),Male,460793,2017,Olaf's Frozen Adventure,36,"Hollywood, Florida, USA"
170,1245,Scarlett Johansson,Jess Thayer,Female,397422,2017,Rough Night,33,"New York City, New York, USA"
171,17064,Ben Whishaw,Paddington Brown (voice),Male,346648,2017,Paddington 2,37,"Clifton, Bedfordshire, England, UK"
172,3894,Christian Bale,Captain Joseph J. Blocker,Male,384680,2017,Hostiles,43,"Haverfordwest, Pembrokeshire, Wales, UK"
173,5064,Meryl Streep,Kay Graham,Female,446354,2017,The Post,68,"Summit, New Jersey, USA"
174,16501,Milo Ventimiglia,Jackson Pritchard,Male,355193,2017,Devil's Gate,40,"Anaheim, California, USA"
175,88995,Adrianne Palicki,Ellen Dwyer,Female,461053,2017,S.W.A.T.: Under Siege,34,"Toledo, Ohio, USA"
176,19146,Ian Ziering,Fin Shepard,Male,438970,2017,Sharknado 5: Global Swarming,53,"Newark, New Jersey, USA"
177,81260,Bill Milner,Edward,Male,429467,2017,The Lodgers,22,"Surrey, England, UK "
178,60077,Douglas Smith,Elliot,Male,292280,2017,The Bye Bye Man,32,"Toronto, Ontario,  Canada"
